cell_id,centroid_x_px,centroid_y_px,centroid_x_um,centroid_y_um,matched_gt_id,iou_score
1,4.23232323232323,194,2.77203126923638,127.063562188434,9,0.701492537313433
2,11.4182389937107,220.235849056604,7.47856763123588,144.247172694466,14,0.545454545454545
3,13.8504672897196,328.910547396529,9.07159645260908,215.425493781189,0,0.43141592920354
4,13.5020325203252,381.209349593496,8.84338324132268,249.679473705596,18,0.686346863468635
5,20.9113636363636,297.702272727273,13.6962492466704,194.985109506804,16,0.720779220779221
6,22.2576112412178,167.377049180328,14.5779967531673,109.626412873408,6,0.771058315334773
7,21.1908602150538,195.032258064516,13.8793102307314,127.739656965626,8,0.637931034482759
8,37.155,391.67,24.3352920263467,256.530852589402,19,0.659863945578231
9,43.1813186813187,208.131868131868,28.2823307816615,136.319466854477,12,0.771978021978022
10,135.250645994832,192.175710594315,88.5846848886093,125.868713166017,7,0.836734693877551
11,152.398753894081,204.576323987539,99.8161265095897,133.990703429236,11,0.777089783281734
12,275.99460916442,95.266846361186,180.767310233175,62.3966229747966,5,0.72609819121447
13,287.764227642276,208.134146341463,188.47601976614,136.320959006161,10,0.779527559055118
14,292.384823848238,80.6368563685637,191.502356948428,52.814465019932,3,0.723350253807107
15,317.786697247706,215.68119266055,208.13974107418,141.264023899482,13,0.702173913043478
16,322.868235294118,55.5058823529412,211.467979865794,36.3545110009116,2,0.727272727272727
17,344.377892030848,34.0437017994859,225.55609123909,22.2974949521829,1,0.649880095923261
18,350.553719008264,82.7190082644628,229.601052966976,54.1782054163771,4,0.813775510204082
19,355.442953020134,411.624161073826,232.803338997497,269.60016592199,0,0
