cell_id,centroid_x_px,centroid_y_px,centroid_x_um,centroid_y_um,matched_gt_id,iou_score
1,2.87096774193548,194.725806451613,1.88038859906396,127.538941328647,0,0.48062015503876
2,12.5804020100503,327.977386934673,8.23974584102845,214.814304645227,20,0.510135135135135
3,13.1302325581395,380.939534883721,8.59986660412249,249.502754024386,18,0.693836978131213
4,3,225,1.9649004462129,147.367533465967,0,0.00769230769230769
5,12.5772727272727,218.954545454545,8.23769626465316,143.407961354659,14,0.656370656370656
6,21.0159151193634,297.771883289125,13.7647269985365,195.030702114819,16,0.730496453900709
7,13,166.5,8.51456860025589,109.051974764816,0,0.00508905852417303
8,21.3623188405797,195.192028985507,13.9916099406658,127.844301616941,8,0.683431952662722
9,22.8260869565217,169.028985507246,14.9503294820547,110.708376348701,0,0.351145038167939
10,19.7894736842105,421.578947368421,12.9614485574745,276.120220599391,0,0
11,37.0194805194805,392.175324675325,24.2465312637656,256.861823482744,19,0.658031088082902
12,42.5,208.224,27.8360896546827,136.379810170745,12,0.793918918918919
13,142.974182444062,197.645438898451,93.6433449604205,129.451203694503,7,0.510743801652893
14,276.361290322581,95.2225806451613,181.007474223604,62.3676303997403,5,0.719546742209632
15,288,208.175438596491,188.630442836438,136.348004062937,10,0.766884531590414
16,292.395424836601,80.4019607843137,191.509300244016,52.6606162071633,3,0.701657458563536
17,317.531791907514,215.540462427746,207.972786535285,141.171850267071,13,0.719602977667494
18,322.899159663866,55.7002801120448,211.488234301766,36.4818350821134,2,0.751898734177215
19,344.294701986755,34.2019867549669,225.501604520837,22.4011663454007,1,0.683473389355742
20,350.94427244582,82.5356037151703,229.856852508218,54.0580815227963,4,0.765789473684211
21,355.823529411765,411.823529411765,233.052603904741,269.730745567382,0,0
